时间,外环频率,内环频率,遥控滚转,遥控俯仰,遥控偏航,遥控x,遥控y,遥控z,姿态x,姿态y,姿态z,q0,q1,q2,q3,外环输出x,外环输出y,外环输出z,力x,力y,力z,力矩x,力矩y,力矩z,--,电机1,电机2,电机3,电机4,电机5,电机6,电机7,电机8,
1.48829E+12,38.24HZ ,191.22HZ ,-1,0,55,0,0,0,2.88,1.94,1.62,1,0.02,0.02,0.02,-0.09,0.01,1.41,0,0,0,-0.25,0.07,1.15,,1546,1428,1383,1574,1382,1596,1551,1405,endOfFrame
1.48829E+12,38.16HZ ,190.79HZ ,-1,0,87,0,0,0,1.09,0.75,-4.16,1,0.03,0.01,-0.03,-0.06,0.01,1.42,0,0,0,0.01,-0.24,0.03,,1502,1490,1490,1454,1502,1490,1490,1449,endOfFrame
1.48829E+12,38.21HZ ,191.07HZ ,0,0,93,0,0,0,1.23,2.09,18.75,1,0,0.02,0.06,-0.03,-0.02,1.37,0,0,0,-0.05,-0.09,-0.9,,1417,1562,1548,1402,1554,1431,1417,1534,endOfFrame
1.48829E+12,38.67HZ ,193.37HZ ,0,0,73,0,0,0,1.04,0.45,47.89,0.94,0.01,0.01,0.34,-0.03,-0.01,0.46,0,0,0,0.23,0.07,-0.95,,1405,1534,1584,1407,1549,1395,1445,1546,endOfFrame
1.48829E+12,38.64HZ ,193.22HZ ,0,0,73,0,0,0,-0.71,1.64,54.49,0.88,-0.01,0.01,0.47,0.01,-0.03,0.3,0,0,0,0.02,-0.03,0.42,,1510,1457,1460,1503,1453,1519,1522,1441,endOfFrame
1.48829E+12,38.35HZ ,191.75HZ ,0,-1,78,0,0,0,-1.13,1.21,46.51,0.91,-0.01,0.01,0.41,0.02,-0.04,0.52,0,0,0,0.04,0.15,0.73,,1515,1428,1444,1542,1414,1535,1551,1436,endOfFrame
1.48829E+12,38.19HZ ,190.93HZ ,0,-1,87,0,0,0,-1.37,0.28,43.47,0.93,-0.01,0,0.37,0.03,-0.03,0.75,0,0,0,0.05,-0.13,-0.22,,1476,1490,1490,1445,1511,1490,1490,1476,endOfFrame
1.48829E+12,38.32HZ ,191.58HZ ,0,-1,91,0,0,0,-2.91,2.33,58.05,0.91,-0.02,0,0.42,0.03,-0.05,0.71,0,0,0,0.22,0.07,-0.45,,1441,1490,1546,1444,1512,1433,1490,1510,endOfFrame
1.48829E+12,38.35HZ ,191.75HZ ,0,-1,91,0,0,0,-2.2,2.04,75.17,0.83,-0.03,0,0.56,0.04,-0.07,0.39,0,0,0,-0.04,0.06,-0.33,,1444,1516,1511,1476,1481,1468,1463,1507,endOfFrame
1.48829E+12,38.22HZ ,191.11HZ ,0,-1,87,0,0,0,-1,2.16,77.62,0.77,-0.02,0,0.63,0.02,-0.05,0.15,0,0,0,-0.06,-0.07,0.41,,1511,1467,1452,1499,1457,1527,1512,1440,endOfFrame
1.48829E+12,38.28HZ ,191.42HZ ,0,-1,91,0,0,0,0.84,2.96,70.89,0.8,-0.01,0.02,0.59,-0.01,-0.07,0.31,0,0,0,-0.06,-0.07,0.59,,1524,1455,1438,1513,1443,1541,1524,1427,endOfFrame
1.48829E+12,38.38HZ ,191.91HZ ,0,-1,96,0,0,0,1.44,1.03,64.36,0.84,0,0.02,0.54,-0.03,-0.03,0.53,0,0,0,-0.04,-0.03,0.34,,1503,1470,1459,1498,1458,1520,1490,1448,endOfFrame
1.48829E+12,37.82HZ ,189.12HZ ,0,-1,96,0,0,0,1.92,1.97,69.55,0.83,0,0.02,0.56,-0.03,-0.04,0.48,0,0,0,-0.09,0.03,-0.25,,1452,1516,1490,1476,1481,1490,1463,1499,endOfFrame
1.48829E+12,38.24HZ ,191.19HZ ,0,-1,96,0,0,0,1.98,0.26,82.55,0.75,0.01,0.01,0.66,-0.03,-0.02,0.24,0,0,0,0.19,0.04,-0.6,,1433,1513,1554,1430,1526,1425,1466,1518,endOfFrame
1.48829E+12,38.26HZ ,191.31HZ ,0,-1,91,0,0,0,-1.08,0.4,94.82,0.71,0,0,0.7,0,-0.01,0.03,0,0,0,-0.07,-0.02,-0.28,,1455,1517,1490,1455,1501,1490,1462,1496,endOfFrame
1.48829E+12,38.18HZ ,190.91HZ ,0,-1,91,0,0,0,-0.96,-0.34,96.29,0.66,0,0,0.75,0,-0.01,-0.11,0,0,0,0.09,-0.12,0.26,,1509,1465,1490,1476,1481,1490,1514,1442,endOfFrame
1.48829E+12,38.20HZ ,191.00HZ ,0,-1,87,0,0,0,-1.31,0.74,88.54,0.7,-0.01,0,0.72,0.13,-0.03,-0.15,0,0,0,0.03,-0.09,0.36,,1511,1463,1463,1476,1481,1516,1516,1440,endOfFrame
1.48829E+12,38.27HZ ,191.36HZ ,0,-1,87,0,0,0,-1.09,-0.03,79.69,0.76,-0.01,-0.01,0.65,0.02,-0.02,0.09,0,0,0,-0.08,-0.03,0.37,,1503,1490,1453,1502,1454,1526,1490,1448,endOfFrame
1.48829E+12,38.20HZ ,190.98HZ ,0,-1,87,0,0,0,-1.53,-0.2,76.62,0.78,-0.01,-0.01,0.62,0.03,-0.01,0.18,0,0,0,0,-0.04,0.12,,1476,1490,1490,1476,1481,1490,1490,1476,endOfFrame
1.48829E+12,38.07HZ ,190.35HZ ,0,-1,87,0,0,0,-1.4,0.7,78.38,0.78,-0.01,0,0.63,0.03,-0.03,0.15,0,0,0,-0.02,0,-0.09,,1476,1490,1490,1476,1481,1490,1490,1476,endOfFrame
1.48829E+12,38.18HZ ,190.88HZ ,0,-1,87,0,0,0,-1.13,1.14,83.04,0.75,-0.01,0,0.66,0.02,-0.04,0.07,0,0,0,-0.03,-0.08,-0.24,,1476,1512,1490,1452,1504,1490,1467,1476,endOfFrame
1.48829E+12,38.26HZ ,191.29HZ ,0,-1,87,0,0,0,-0.25,1.93,89.02,0.73,-0.01,0.01,0.68,0.01,-0.05,0.02,0,0,0,-0.03,-0.03,-0.35,,1452,1519,1512,1448,1508,1467,1460,1499,endOfFrame
1.48829E+12,38.26HZ ,191.32HZ ,0,-1,87,0,0,0,0.17,1.87,94.31,0.69,-0.01,0.01,0.72,0,-0.05,-0.1,0,0,0,0.06,-0.09,-0.25,,1476,1490,1512,1446,1510,1467,1490,1476,endOfFrame
1.48829E+12,38.06HZ ,190.28HZ ,0,-1,87,0,0,0,1.12,2.77,95.22,0.67,-0.01,0.02,0.74,-0.01,-0.06,-0.15,0,0,0,-0.16,-0.12,-0.03,,1476,1511,1490,1476,1481,1490,1468,1476,endOfFrame
1.48829E+12,38.23HZ ,191.16HZ ,0,-1,87,0,0,0,2.94,3.32,92.13,0.69,0,0.04,0.72,-0.05,-0.08,-0.1,0,0,0,0.02,-0.19,0.17,,1507,1490,1490,1476,1481,1490,1490,1444,endOfFrame
1.48829E+12,38.13HZ ,190.65HZ ,0,-1,83,0,0,0,1.54,3.36,86.82,0.72,-0.01,0.03,0.69,-0.03,-0.08,-0.08,0,0,0,0.01,-0.03,0.26,,1497,1470,1490,1476,1481,1490,1490,1454,endOfFrame
1.48829E+12,38.09HZ ,190.46HZ ,0,-1,64,0,0,0,1.43,3.46,80.4,0.76,-0.01,0.03,0.65,-0.02,-0.08,-0.29,0,0,0,-0.02,-0.03,0.16,,1476,1490,1490,1476,1481,1490,1490,1476,endOfFrame
1.48829E+12,38.08HZ ,190.40HZ ,0,-1,-1,0,0,0,-0.34,2.67,74.16,0.8,-0.02,0.02,0.6,0.02,-0.05,-1.21,0,0,0,0.2,0.11,-0.48,,1435,1490,1547,1446,1510,1432,1490,1516,endOfFrame
1.48829E+12,38.25HZ ,191.23HZ ,0,-1,-1,0,0,0,-1.64,1.15,68.62,0.81,-0.02,0.01,0.58,0.03,-0.03,-1.18,0,0,0,0.08,0.02,-0.29,,1455,1490,1519,1454,1502,1460,1490,1496,endOfFrame
1.48829E+12,37.89HZ ,189.46HZ ,0,-1,-1,0,0,0,-2.03,1.37,59.6,0.85,-0.02,0,0.53,0.03,-0.01,-1.17,0,0,0,0.04,-0.07,-0.02,,1476,1490,1490,1476,1481,1490,1490,1476,endOfFrame
1.48829E+12,37.90HZ ,189.48HZ ,0,-1,-1,0,0,0,-1.64,-0.24,48.3,0.9,-0.02,0,0.44,0.03,-0.01,-0.89,0,0,0,-0.1,0.08,0.1,,1476,1490,1490,1476,1481,1490,1490,1476,endOfFrame
1.48829E+12,38.16HZ ,190.82HZ ,0,-1,-1,0,0,0,0.86,-0.31,36.01,0.94,0,0,0.33,-0.01,-0.01,-0.68,0,0,0,-0.13,-0.06,0.36,,1504,1490,1448,1499,1457,1531,1490,1447,endOfFrame
1.48829E+12,38.29HZ ,191.47HZ ,0,0,-1,0,0,0,1.61,0.69,23.51,0.98,0.01,0.01,0.22,-0.03,-0.02,-0.45,0,0,0,0.05,-0.03,0.34,,1505,1460,1469,1496,1460,1510,1519,1446,endOfFrame
1.48829E+12,38.55HZ ,192.77HZ ,0,0,-1,0,0,0,1.8,2.03,15.52,0.99,0.01,0.02,0.14,-0.02,-0.04,-0.29,0,0,0,-0.04,-0.08,0.17,,1476,1490,1490,1476,1481,1490,1490,1456,endOfFrame
1.48829E+12,38.55HZ ,192.77HZ ,0,0,-1,0,0,0,2.75,3.37,12.9,0.99,0.02,0.03,0.12,-0.03,-0.05,-0.26,0,0,0,-0.03,-0.02,-0.11,,1476,1490,1490,1476,1481,1490,1490,1476,endOfFrame
1.48829E+12,38.33HZ ,191.66HZ ,-1,0,-1,0,0,0,2.41,2.86,12.61,0.99,0.02,0.03,0.11,-0.06,-0.06,-0.23,0,0,0,0.01,-0.03,-0.22,,1476,1490,1490,1456,1481,1490,1490,1476,endOfFrame
1.48829E+12,38.16HZ ,190.79HZ ,-1,0,-1,0,0,0,1.83,2.6,13.94,0.99,0.01,0.03,0.12,-0.04,-0.05,-0.25,0,0,0,-0.01,0.03,-0.22,,1456,1490,1490,1476,1481,1490,1490,1476,endOfFrame
1.48829E+12,37.88HZ ,189.41HZ ,-1,0,-1,0,0,0,1.74,1.38,15.68,0.99,0.01,0.02,0.13,-0.04,-0.03,-0.28,0,0,0,-0.01,-0.02,-0.21,,1476,1490,1490,1476,1481,1490,1490,1476,endOfFrame
